t,x,set
0,0.04,1
0.741,0.04,1
1.391,0.035,1
1.731,0.033,1
1.821,0.033,1
1.961,0.029,1
2.021,0.029,1
2.251,0.029,1
3.821,0.029,1
5.571,0.028,1
5.651,0.027,1
5.741,0.026,1
7.951,0.021,1
8.751,0.022,1
9.051,0.025,1
10.701,0.028,1
11.121,0.027,1
11.721,0.03,1
13.471,0.03,1
16.311,0.027,1
16.321,0.028,1
17.731,0.025,1
20.441,0.023,1
21.221,0.02,1
23.371,0.009,1
30.451,0.001,1
37.041,0.002,1
37.681,0.002,1
38.911,0.005,1
40.741,0.007,1
40.951,0.006,1
46.131,0.006,1
53.061,0.006,1
58.501,0.005,1
60.711,0.006,1
64.551,0.009,1
65.121,0.007,1
70.821,0.007,1
71.771,0.006,1
74.371,0.005,1
300,0,1
0,0.04,2
0.471,0.039,2
0.961,0.038,2
3.101,0.037,2
3.681,0.037,2
6.351,0.035,2
6.551,0.036,2
7.851,0.03,2
8.241,0.031,2
9.931,0.038,2
10.331,0.038,2
11.031,0.035,2
11.381,0.034,2
11.661,0.036,2
11.941,0.036,2
12.301,0.04,2
12.591,0.039,2
13.321,0.036,2
14.451,0.035,2
15.081,0.037,2
16.371,0.029,2
19.181,0.036,2
19.851,0.037,2
20.841,0.036,2
21.611,0.038,2
21.621,0.039,2
22.371,0.041,2
23.111,0.046,2
23.611,0.045,2
23.871,0.045,2
24.021,0.045,2
25.301,0.056,2
26.481,0.05,2
26.871,0.052,2
27.981,0.052,2
29.131,0.056,2
31.501,0.057,2
32.751,0.057,2
33.081,0.055,2
33.921,0.054,2
35.191,0.056,2
36.511,0.057,2
37.111,0.054,2
37.151,0.056,2
39.041,0.058,2
39.541,0.054,2
39.751,0.053,2
40.501,0.056,2
40.611,0.057,2
40.771,0.051,2
40.971,0.049,2
41.021,0.048,2
41.151,0.048,2
41.271,0.049,2
43.471,0.043,2
44.191,0.044,2
45.581,0.042,2
45.671,0.043,2
45.921,0.042,2
48.191,0.039,2
48.701,0.041,2
49.251,0.04,2
50.821,0.038,2
50.971,0.039,2
51.461,0.039,2
51.711,0.039,2
52.661,0.04,2
53.261,0.035,2
54.121,0.031,2
54.171,0.03,2
54.191,0.031,2
55.101,0.028,2
55.391,0.028,2
56.391,0.029,2
56.571,0.029,2
57.271,0.029,2
57.561,0.027,2
59.001,0.028,2
59.081,0.027,2
60.361,0.024,2
60.991,0.02,2
62.011,0.021,2
64.021,0.018,2
64.341,0.023,2
64.801,0.021,2
65.181,0.021,2
68.361,0.025,2
69.171,0.025,2
69.711,0.021,2
70.811,0.019,2
72.321,0.018,2
73.751,0.02,2
74.301,0.021,2
75.081,0.02,2
75.471,0.019,2
81.461,0.016,2
81.721,0.016,2
82.631,0.014,2
83.011,0.015,2
84.341,0.012,2
88.351,0.012,2
88.981,0.014,2
92.321,0.023,2
95.341,0.025,2
95.431,0.023,2
95.451,0.024,2
97.631,0.019,2
107.231,0.011,2
107.651,0.008,2
108.311,0.011,2
111.221,0.016,2
111.821,0.015,2
112.321,0.016,2
113.421,0.015,2
113.731,0.017,2
113.781,0.018,2
115.241,0.014,2
116.181,0.014,2
117.401,0.016,2
117.821,0.016,2
118.761,0.014,2
120.101,0.014,2
120.281,0.014,2
120.641,0.012,2
121.141,0.011,2
122.981,0.014,2
124.091,0.012,2
126.461,0.01,2
126.631,0.013,2
127.271,0.012,2
131.511,0.01,2
133.151,0.007,2
134.641,0.009,2
136.081,0.009,2
137.811,0.01,2
138.171,0.011,2
138.721,0.012,2
145.861,0.012,2
146.001,0.014,2
147.301,0.018,2
147.491,0.021,2
148.231,0.024,2
148.681,0.028,2
151.811,0.038,2
152.351,0.038,2
153.431,0.042,2
153.591,0.039,2
154.041,0.039,2
154.121,0.038,2
156.441,0.034,2
157.791,0.039,2
158.131,0.038,2
158.441,0.036,2
158.471,0.035,2
159.831,0.037,2
160.011,0.036,2
162.511,0.035,2
164.501,0.04,2
164.671,0.039,2
167.381,0.036,2
168.741,0.032,2
168.941,0.031,2
169.401,0.031,2
169.631,0.032,2
170.251,0.028,2
170.281,0.03,2
172.451,0.025,2
172.701,0.028,2
172.801,0.027,2
172.891,0.027,2
174.281,0.029,2
175.561,0.029,2
177.621,0.028,2
178.441,0.03,2
179.841,0.032,2
179.901,0.031,2
179.931,0.031,2
180.751,0.03,2
180.931,0.03,2
181.421,0.031,2
181.771,0.03,2
182.711,0.031,2
186.091,0.029,2
186.191,0.032,2
187.611,0.03,2
189.211,0.032,2
190.651,0.033,2
191.861,0.024,2
192.141,0.025,2
192.731,0.029,2
194.541,0.028,2
195.731,0.026,2
196.551,0.027,2
197.481,0.031,2
198.891,0.033,2
199.461,0.03,2
199.601,0.028,2
199.881,0.027,2
200.201,0.025,2
200.741,0.023,2
202.861,0.027,2
208.421,0.016,2
211.161,0.019,2
212.881,0.022,2
213.271,0.024,2
213.431,0.024,2
213.671,0.025,2
214.831,0.029,2
215.871,0.028,2
216.231,0.028,2
